Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
SRSF5	64.0308670132291	62.79630045343627	61.71823027533178	63.78314213278894	62.414597183586864	63.036628048273364	143.51223849592063	143.52769669647208	99.11001578916334	96.96227444462573
DHDDS-AS1	1.0086940909189532	1.3092239841392017	1.0389188500856312	1.7482713265404275	1.1127121369693895	1.1698093642028349	2.1670922222910476	1.8957147186647285	1.9960589883917157	1.5881655897167573
PTBP1	144.42352579689103	151.68010114464042	151.27779067527592	148.88676177817652	155.49083805455322	150.87668890591823	92.30032722281447	97.84720941720731	113.34263827099979	115.43509409836564
SYT3	3.5029886865148363	3.9397985553581742	3.853511287962345	4.22177435958924	4.9299064318901085	4.189299165878852	3.84026955772631	4.341660427208602	4.158575539077504	3.9106345376673346
CCDC66	12.533812624825222	11.214042319793467	12.388336551366097	11.267831348217667	10.73657148115965	10.692733729881379	9.163812915096397	8.396538145397775	9.808562304041024	9.671109752880602
ASB1	10.90338150728989	10.277721759685715	10.395548882366688	11.192613467478706	10.545817684729478	10.746182097701595	10.09986915800833	9.855271922141144	9.45613887325319	9.439007987384459
ESF1	19.630015041745526	16.477658576498236	17.43544723630766	15.643494336164528	15.746122311404513	15.479084622755371	8.46204533511794	7.962843248688409	11.243743406116971	11.184320359423234
DENND1B	6.29048887322349	5.978137393685708	5.984223808295468	5.850046867374631	5.423224605408489	5.79620512059036	6.0082405179732445	4.952591640098419	5.499894709350454	5.806967101182324
DNAJC15	4.254933754749156	4.357878144283162	4.0365789330880215	3.9846214628647614	3.9293253368780965	3.9665483587841788	1.80094689809983	1.5319843084993017	3.078420265830025	2.882171239278621
ST3GAL6	1.4555023555550777	1.3946480077472765	1.3007396377218503	1.3383927162097413	1.4582729770419331	1.4084323168799666	3.113184850280894	2.788596444837667	3.0123056142119835	2.74532896176932
RALGAPA1	11.361317818698746	11.100102970789228	11.124751163270455	10.952459151272253	10.17872774261296	11.03410745954077	11.323721984641628	10.218672301765931	11.63125606953257	11.659152146730161
DPY19L1	10.904725104570744	11.762713775590221	11.320510573910834	11.432923075189816	10.926921671094034	11.29057073202233	9.101625771080977	7.8880591158815925	10.750363171964175	11.560807063682379
