term	gene
H_Undefined_Normal_EndothelialCell_25170899	CD209
H_Undefined_Normal_TCell_25170899	SLAMF1
H_Undefined_Normal_BCell_25170899	SLAMF1
H_Undefined_Normal_Thymocyte_25170899	SLAMF1
H_Undefined_Normal_DendriticCell_25170899	SLAMF1
H_Undefined_Normal_Neutrophil_25170899	FCGR3B
H_Undefined_Normal_BCell_25170899	MS4A1
H_Undefined_Normal_Lymphocyte_25170899	CCR7
H_Brain_Glioblastoma_CancerStemCell_29492900	PROM1
H_PeripheralBlood_Normal_EndothelialProgenitorCell_27561827	CD34
H_PeripheralBlood_Normal_EndothelialProgenitorCell_27561827	PTPRC
H_PeripheralBlood_Normal_EndothelialProgenitorCell_27561827	KDR
H_PeripheralBlood_Normal_EndothelialCell_27561827	PROM1
H_PeripheralBlood_Normal_EndothelialCell_27561827	CDH5
H_PeripheralBlood_Normal_EndothelialCell_27561827	CD34
H_PeripheralBlood_Normal_EndothelialCell_27561827	PTPRC
H_Kidney_RenalCellCarcinoma_TumorEndothelialCell_25283635	SBSN
H_Colon_ColonCancer_TumorEndothelialCell_25283635	SBSN
H_Gonad_Normal_PremeioticGermCell_29393262	MAGEA4
H_Gonad_Normal_Gonocyte_29393262	POU5F1
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	PECAM1
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	CD34
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	CD44
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	PTPRC
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	NT5E
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	THY1
H_AdiposeTissue_Normal_MesenchymalStemCell_24978442	ENG
H_Testis_Normal_Gonocyte_25030892	NA
H_Testis_Normal_SpermatogonialStemCell_25030892	NA
H_Testis_Normal_SertoliCell_25030892	NA
H_Testis_Normal_Gonocyte_25030892	THY1
H_Testis_Normal_Gonocyte_25030892	KIT
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	B2M
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	ENG
